,Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,study
0,0,0.0102,0.833,204600,0.434,0.0219,2,0.165,-8.795,1,0.431,150.062,4.0,0.28600000000000003,1,Mask Off,Future,0
1,1,0.19899999999999998,0.743,326933,0.359,0.00611,1,0.13699999999999998,-10.401,1,0.0794,160.083,4.0,0.588,1,Redbone,Childish Gambino,1
2,2,0.0344,0.838,185707,0.41200000000000003,0.000234,2,0.159,-7.148,1,0.289,75.044,4.0,0.17300000000000001,1,Xanny Family,Future,0
3,3,0.604,0.494,199413,0.33799999999999997,0.51,5,0.0922,-15.235999999999999,1,0.0261,86.46799999999999,4.0,0.23,1,Master Of None,Beach House,1
4,4,0.18,0.6779999999999999,392893,0.561,0.512,5,0.439,-11.648,0,0.0694,174.00400000000002,4.0,0.904,1,Parallel Lines,Junior Boys,2
5,5,0.00479,0.804,251333,0.56,0.0,8,0.16399999999999998,-6.682,1,0.185,85.023,4.0,0.264,1,Sneakin’,Drake,1
6,6,0.0145,0.7390000000000001,241400,0.47200000000000003,7.27e-06,1,0.207,-11.204,1,0.156,80.03,4.0,0.308,1,Childs Play,Drake,2
7,7,0.0202,0.266,349667,0.348,0.664,10,0.16,-11.609000000000002,0,0.0371,144.154,4.0,0.39299999999999996,1,Gyöngyhajú lány,Omega,1
8,8,0.0481,0.603,202853,0.9440000000000001,0.0,11,0.342,-3.6260000000000003,0,0.34700000000000003,130.035,4.0,0.39799999999999996,1,I've Seen Footage,Death Grips,0
9,9,0.0020800000000000003,0.836,226840,0.603,0.0,7,0.5710000000000001,-7.792000000000001,1,0.237,99.994,4.0,0.386,1,Digital Animal,Honey Claws,0
10,10,0.0572,0.525,358187,0.855,0.0143,5,0.649,-7.372000000000001,0,0.0548,111.95100000000001,3.0,0.524,1,Subways - In Flagranti Extended Edit,The Avalanches,1
11,11,0.0915,0.753,324880,0.748,0.0034799999999999996,10,0.212,-8.62,1,0.0494,104.322,4.0,0.642,1,Donme Dolap - Baris K Edit,Modern Folk Üçlüsü,2
12,12,0.253,0.603,356973,0.434,0.0619,0,0.10800000000000001,-11.062000000000001,1,0.0342,127.681,4.0,0.381,1,Cemalim,Erkin Koray,2
13,13,0.366,0.762,243270,0.47600000000000003,0.0,0,0.10300000000000001,-12.686,1,0.114,130.007,4.0,0.36700000000000005,1,One Night,Lil Yachty,0
14,14,0.44,0.662,247288,0.603,0.0,9,0.0972,-8.317,0,0.0793,125.01100000000001,4.0,0.35100000000000003,1,Oh lala,PNL,1
15,15,0.019,0.637,188333,0.8320000000000001,0.0563,6,0.316,-6.6370000000000005,1,0.163,99.988,4.0,0.317,1,Char,Crystal Castles,0
16,16,0.0239,0.603,270827,0.955,0.0451,1,0.11900000000000001,-4.111000000000001,1,0.0458,123.92200000000001,4.0,0.773,1,World In Motion,New Order,1
17,17,0.233,0.789,447907,0.659,0.00049,4,0.184,-12.654000000000002,0,0.0429,122.415,4.0,0.8420000000000001,1,One Nation Under a Groove,Funkadelic,2
18,18,0.314,0.713,195429,0.611,0.0,1,0.11699999999999999,-6.702000000000001,0,0.24100000000000002,140.061,4.0,0.7829999999999999,1,Bouncin,Chief Keef,0
19,19,0.0242,0.735,214347,0.759,0.185,1,0.0966,-6.914,0,0.0449,109.98200000000001,4.0,0.763,1,C O O L - Radio Edit,Le Youth,1
20,20,0.0007019999999999999,0.8540000000000001,249253,0.7190000000000001,0.308,10,0.428,-9.335,0,0.0655,128.049,4.0,0.47100000000000003,1,Percolator (Jamie Jones Vault Mix) - mixed,Cajmere,2
21,21,0.00023999999999999998,0.747,307680,0.74,0.369,1,0.0995,-4.1339999999999995,1,0.0323,130.031,4.0,0.77,1,House of Jealous Lovers,The Rapture,1
22,22,0.11800000000000001,0.8540000000000001,287086,0.401,0.0,9,0.527,-8.552999999999999,1,0.395,139.922,4.0,0.441,1,Imma Ride,Young Thug,0
23,23,0.000596,0.22399999999999998,132760,0.925,1.35e-06,11,0.0663,-1.71,0,0.0834,138.02200000000002,4.0,0.364,1,Girlfriend,Ty Segall,1
24,24,0.27899999999999997,0.512,203400,0.564,1.5399999999999998e-05,10,0.133,-5.892,1,0.0316,94.49799999999999,4.0,0.401,1,If I Gave You My Love,Myron & E,2
25,25,0.0021899999999999997,0.7809999999999999,205160,0.795,0.26899999999999996,7,0.0673,-6.757999999999999,1,0.036000000000000004,109.977,4.0,0.795,1,This Ready Flesh,TR/ST,1
26,26,0.341,0.41100000000000003,199500,0.684,1.42e-06,11,0.198,-6.888999999999999,0,0.38299999999999995,110.016,4.0,0.598,1,Lose My Mind,A-Trak,0
27,27,0.018000000000000002,0.6459999999999999,188333,0.8370000000000001,0.0403,6,0.316,-6.615,1,0.134,100.04,4.0,0.32,1,Char,Crystal Castles,0
28,28,0.0516,0.782,228562,0.5720000000000001,0.0,4,0.33,-7.4670000000000005,0,0.0385,120.021,4.0,0.237,1,Look Alive,Rae Sremmurd,2
29,29,0.282,0.735,186096,0.4,0.125,1,0.0811,-12.765999999999998,1,0.102,129.004,4.0,0.326,1,Please Stop Making Fake Versace,Father,0
30,30,0.007909999999999999,0.45,220934,0.449,0.0,2,0.17300000000000001,-12.037,1,0.156,135.45,4.0,0.13699999999999998,1,Milly Rock,2milly,1
